"YEAR","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","UNIQUE_CARRIER","AIRLINE_ID","CARRIER","FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","TAXI_OUT","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","CANCELLED","CANCELLATION_CODE","DIVERTED","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2016,6,16,4,2016-06-16,"HA",19690,"HA","255",13830,"OGG","Kahului, HI","HI",12173,"HNL","Honolulu, HI","HI","0938","0935",-3.00,0.00,6.00,7.00,"1013","1017",4.00,4.00,0.00,"",0.00,35.00,42.00,29.00,1.00,100.00,,,,,,
2016,6,17,5,2016-06-17,"HA",19690,"HA","255",13830,"OGG","Kahului, HI","HI",12173,"HNL","Honolulu, HI","HI","0938","0937",-1.00,0.00,8.00,22.00,"1013","1034",21.00,21.00,0.00,"",0.00,35.00,57.00,27.00,1.00,100.00,21.00,0.00,0.00,0.00,0.00,
2016,6,18,6,2016-06-18,"HA",19690,"HA","255",13830,"OGG","Kahului, HI","HI",12173,"HNL","Honolulu, HI","HI","0938","0937",-1.00,0.00,6.00,7.00,"1013","1014",1.00,1.00,0.00,"",0.00,35.00,37.00,24.00,1.00,100.00,,,,,,
2016,6,19,7,2016-06-19,"HA",19690,"HA","255",13830,"OGG","Kahului, HI","HI",12173,"HNL","Honolulu, HI","HI","0938","0935",-3.00,0.00,8.00,6.00,"1013","1010",-3.00,0.00,0.00,"",0.00,35.00,35.00,21.00,1.00,100.00,,,,,,
2016,6,20,1,2016-06-20,"HA",19690,"HA","255",13830,"OGG","Kahului, HI","HI",12173,"HNL","Honolulu, HI","HI","0938","0936",-2.00,0.00,10.00,6.00,"1013","1015",2.00,2.00,0.00,"",0.00,35.00,39.00,23.00,1.00,100.00,,,,,,
2016,6,21,2,2016-06-21,"HA",19690,"HA","255",13830,"OGG","Kahului, HI","HI",12173,"HNL","Honolulu, HI","HI","0938","0937",-1.00,0.00,7.00,8.00,"1013","1015",2.00,2.00,0.00,"",0.00,35.00,38.00,23.00,1.00,100.00,,,,,,
2016,6,22,3,2016-06-22,"HA",19690,"HA","255",13830,"OGG","Kahului, HI","HI",12173,"HNL","Honolulu, HI","HI","0938","0938",0.00,0.00,8.00,4.00,"1013","1019",6.00,6.00,0.00,"",0.00,35.00,41.00,29.00,1.00,100.00,,,,,,
2016,6,23,4,2016-06-23,"HA",19690,"HA","255",13830,"OGG","Kahului, HI","HI",12173,"HNL","Honolulu, HI","HI","0938","0936",-2.00,0.00,10.00,6.00,"1013","1020",7.00,7.00,0.00,"",0.00,35.00,44.00,28.00,1.00,100.00,,,,,,
2016,6,24,5,2016-06-24,"HA",19690,"HA","255",13830,"OGG","Kahului, HI","HI",12173,"HNL","Honolulu, HI","HI","0938","0929",-9.00,0.00,10.00,4.00,"1013","1006",-7.00,0.00,0.00,"",0.00,35.00,37.00,23.00,1.00,100.00,,,,,,
2016,6,25,6,2016-06-25,"HA",19690,"HA","255",13830,"OGG","Kahului, HI","HI",12173,"HNL","Honolulu, HI","HI","0938","0937",-1.00,0.00,8.00,10.00,"1013","1017",4.00,4.00,0.00,"",0.00,35.00,40.00,22.00,1.00,100.00,,,,,,
2016,6,26,7,2016-06-26,"HA",19690,"HA","255",13830,"OGG","Kahului, HI","HI",12173,"HNL","Honolulu, HI","HI","0938","0934",-4.00,0.00,6.00,6.00,"1013","1013",0.00,0.00,0.00,"",0.00,35.00,39.00,27.00,1.00,100.00,,,,,,
2016,6,27,1,2016-06-27,"HA",19690,"HA","255",13830,"OGG","Kahului, HI","HI",12173,"HNL","Honolulu, HI","HI","0938","0931",-7.00,0.00,7.00,7.00,"1013","1009",-4.00,0.00,0.00,"",0.00,35.00,38.00,24.00,1.00,100.00,,,,,,
2016,6,28,2,2016-06-28,"HA",19690,"HA","255",13830,"OGG","Kahului, HI","HI",12173,"HNL","Honolulu, HI","HI","0938","0933",-5.00,0.00,7.00,6.00,"1013","1010",-3.00,0.00,0.00,"",0.00,35.00,37.00,24.00,1.00,100.00,,,,,,
