home,Runs
Quetta Gladiators,141.0
Quetta Region,144.0
Ragama Cricket Club,143.6153846153846
Railways,138.27777777777777
Rajasthan,156.35
Rajasthan Royals,157.53623188405797
Rajshahi Division,142.71428571428572
Rajshahi Kings,142.75
Rangpur Division,173.0
Rangpur Riders,135.61111111111111
Rawalpindi,159.0
Rawalpindi Rams,159.64
Rawalpindi Region,165.0
Rising Pune Supergiants,138.8
Royal Challengers Bangalore,162.15584415584416
Ruhuna,145.6875
Ruhuna Reds,162.0
Ruhuna Royals,134.0
Saracens Sports Club,142.30769230769232
Saurashtra,143.35714285714286
Schools Invitation XI,152.0
Scotland,148.80645161290323
Sebastianites Cricket and Athletic Club,169.5
Services,122.25
Sialkot Region,158.25
Sialkot Stallions,151.82142857142858
Singha Sports Club,157.0
Sinhalese Sports Club,155.0
Somerset,164.78481012658227
South Africa,151.38888888888889
South Africa Emerging Players,183.0
South Africa XI,166.5
South Australia,166.8421052631579
South Island,139.0
South Western Districts,129.83333333333334
Southern Express,157.0
Southern Rocks,176.0
Southerns,141.0
Sri Lanka,155.30434782608697
Sri Lanka A,138.25
Sri Lanka Air Force Sports Club,139.25
Sri Lanka Army,142.4
Sri Lanka Ports Authority Cricket Club,131.4
St Kitts and Nevis Patriots,171.66666666666666
St Lucia,119.5
St Lucia Zouks,155.71428571428572
St Vincent,92.0
St Vincent and the Grenadines,168.0
Stanford Superstars,139.33333333333334
State Bank of Pakistan,129.33333333333334
Sui Northern Gas Pipelines Limited,88.4
Sunrisers Hyderabad,153.1891891891892
Surrey,160.15853658536585
Sussex,152.97297297297297
Sydney Sixers,151.3
Sydney Thunder,162.63636363636363
Sylhet Division,150.75
Sylhet Royals,158.0909090909091
Sylhet Super Stars,126.33333333333333
Tamil Nadu,147.0909090909091
Tamil Union Cricket and Athletic Club,157.5625
Tasmania,170.41666666666666
Titans,152.3943661971831
Trinbago Knight Riders,160.16666666666666
Trinidad & Tobago,141.77272727272728
Trinidad & Tobago Red Steel,146.0
Tripura,116.2
UCB-BCB Eleven,168.0
Udarata Rulers,157.5
Uganda,133.0
United Arab Emirates,143.22222222222223
United Bank Limited,142.8
United States Virgin Islands,137.5
United States of America,139.55555555555554
Uthura Rudras,149.5
Uthura Yellows,158.0
Uttar Pradesh,148.40740740740742
Uva Next,144.0
Victoria,165.4814814814815
Vidarbha,149.23076923076923
Warriors,144.2982456140351
Warwickshire,154.23529411764707
Water and Power Development Authority,139.0
Wayamba,140.9047619047619
Wayamba United,168.6
Wellington,158.15384615384616
West Indies,159.9268292682927
West Indies A,122.0
Western Australia,166.78571428571428
Western Province,150.2
Western Troopers,165.0
Westerns,135.33333333333334
Windward Islands,137.27272727272728
Worcestershire,165.0
Yorkshire,156.7826086956522
Zarai Taraqiati Bank Limited,143.625
Zimbabwe,149.73333333333332
Zimbabwe President's XI,145.0
Zimbabwe XI,158.66666666666666
