YEAR,T_Delayed_Flights,T_Cancelled_Flights,T_Weather_Delay,T_NAS_DelayT_Security_Delay,T_late_aircraft_Delay,Reason_delayed,Per_cancelled,Per_weather,Per_NAS,Per_security,Per_aircraft
2015,2704367,89884,64716,,556953,1279863,7.022939173958463,5.056478701235992,44.13175472687311,0.27221663568678833,43.51661076224565
2016,2456755,65861,50143,,497734,1131139,5.822538167280944,4.432965356158704,45.45073593961485,0.2908572686469125,44.002903268298596
